Customer Class_,Customer Subclass_,Lower Limit Demand_,Upper Limit Demand_,Lower Limit Consumption_,Upper Limit Consumption_,Supply Period Start_,Supply Period End_,Supply Period_,kWh Attributable_,kW Attributable_,Generation Charge_per kWh,Transmission Charge_per kWh,Distribution Charge_per kWh,Supply Charge_per kWh,Metering Charge_per kWh,System Loss Charge_per kWh,UC-ME_per kWh,UC-EC_per kWh,UC-SCC_per kWh,Fit-All (Renewable)_per kWh,Lifeline Rate Subsidy_per kWh,Senior Citizen Subsidy_per kWh,Power Act Reduction_per kWh,Distribution Rate True-Up_per kWh,Current RPT Charge_per kWh,UC-ME for (NPC-SPUG)_per kWh,UC-ME for (RED-CI)_per kWh,UC-SD_per kWh,Prev. Mos' Adj on Gen Cost_per kWh,Dist Rate True-Up 1_per kWh,Dist Rate True-Up 2_per kWh,Dist Rate True-Up 3_per kWh,Dist Rate True-Up 4_per kWh,Cross Subsidy Charge_per kWh,For Non-lifeline: Lifeline Subsidy_per kWh,Current RPT_per kWh,Prev. Mos' Adj on Gen_per kWh,Reset Cost Adjustment_per kWh,Total per kWh_,Transmission Charge_per kW,Distribution Charge_per kW,Total per kW_,Supply Charge_per cust/mo,Metering Charge_per cust/mo,Total per cust/mo_,Lifeline Discount_%,Special Discount_%,For Lifeline: Applicable Discounts_%,Total %_,Power Factor Adj_Penalty,Power Factor Adj_Disc
Residential,OVER 400 KWH,,,,,12-26-13,01-25-14,01-14,7.7856,0.0,5.6673,0.9333,2.5043,0.6043,0.4066,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,11.2232,,,0.0,19.88,5.00,24.88,,,,0.0,,
General Service A,0 TO 200 KWH,,,0.0,200.0,12-26-13,01-25-14,01-14,7.7856,0.0,5.6673,0.9333,1.2225,0.6043,0.4066,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,9.9414,,,0.0,19.88,5.00,24.88,,5%,,5.0,,
General Service A,201 TO 300 KWH,,,201.0,300.0,12-26-13,01-25-14,01-14,7.7856,0.0,5.6673,0.9333,1.5798,0.6043,0.4066,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,10.2987,,,0.0,19.88,5.00,24.88,,5%,,5.0,,
General Service A,301 TO 400 KWH,,,301.0,400.0,12-26-13,01-25-14,01-14,7.7856,0.0,5.6673,0.9333,1.9170,0.6043,0.4066,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,10.635900000000001,,,0.0,19.88,5.00,24.88,,5%,,5.0,,
General Service A,OVER 400 KWH,,,,,12-26-13,01-25-14,01-14,7.7856,0.0,5.6673,0.9333,2.5043,0.6043,0.4066,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,11.2232,,,0.0,19.88,5.00,24.88,,5%,,5.0,,
General Service B,General Service B,5.0,40.0,,,12-26-13,01-25-14,01-14,6.7747,0.0,5.6673,,0.1625,,,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,6.937200000000001,279.60,281.84,561.44,441.49,430.62,872.11,,3%,,3.0,,
General Power (GP) Secondary,MEDIUM SECONDARY,40.0,200.0,,,12-26-13,01-25-14,01-14,6.7747,0.0,5.6673,,0.1625,,,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,6.937200000000001,318.52,281.84,600.3599999999999,"1,004.45","1,009.53",0.0,,3%,,3.0,1.4%,0.7%
General Power (GP) Secondary,LARGE SECONDARY,200.0,750.0,,,12-26-13,01-25-14,01-14,6.7747,0.0,5.6673,,0.1625,,,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,6.937200000000001,318.52,281.84,600.3599999999999,"4,166.09","4,189.45",0.0,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,12-26-13,01-25-14,01-14,6.4208,0.0,5.6673,,0.0609,,,0.2523,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,6.4817,337.22,217.08,554.3000000000001,"1,004.45","1,009.53",0.0,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,12-26-13,01-25-14,01-14,6.4208,0.0,5.6673,,0.0609,,,0.2523,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,6.4817,337.22,217.08,554.3000000000001,"4,166.09","4,189.45",0.0,,3%,,3.0,1.4%,0.7%
